combination_id,run_time_sec,phase,is_full_dataset,n_dft_bins,n_avg_samples,srp_grid_cells,freq_min,freq_max,mae,median_error,p95_error,n_samples,success_rate,phase1_mae
68.0,40.55416488647461,1.0,False,1024.0,1.0,720.0,200.0,3000.0,84.72454097868317,90.29231791464407,162.160991937819,100,1.0,
69.0,40.55686807632446,1.0,False,1024.0,1.0,720.0,200.0,4000.0,80.13167240625664,86.68706462517036,164.525,100,1.0,
70.0,40.031075954437256,1.0,False,1024.0,1.0,720.0,300.0,3000.0,84.20343802185944,89.3773120430811,164.20280154207634,100,1.0,
71.0,40.02457284927368,1.0,False,1024.0,1.0,720.0,300.0,4000.0,83.78577635972022,90.19811671642378,167.1795258914641,100,1.0,
72.0,20.90692973136902,1.0,False,1024.0,5.0,360.0,200.0,3000.0,84.64454097868317,90.43706462517036,161.68599193781898,100,1.0,
73.0,21.1375732421875,1.0,False,1024.0,5.0,360.0,200.0,4000.0,80.1732041867035,86.43706462517036,164.55,100,1.0,
74.0,21.099338054656982,1.0,False,1024.0,5.0,360.0,300.0,3000.0,84.20343802185944,89.6273120430811,164.36752709224265,100,1.0,
75.0,20.84998083114624,1.0,False,1024.0,5.0,360.0,300.0,4000.0,83.75342021949972,90.44811671642378,167.65452589146415,100,1.0,
76.0,39.40649700164795,1.0,False,1024.0,5.0,720.0,200.0,3000.0,84.72454097868317,90.29231791464407,162.160991937819,100,1.0,
77.0,39.2312650680542,1.0,False,1024.0,5.0,720.0,200.0,4000.0,80.13167240625664,86.68706462517036,164.525,100,1.0,
78.0,39.59465026855469,1.0,False,1024.0,5.0,720.0,300.0,3000.0,84.20343802185944,89.3773120430811,164.20280154207634,100,1.0,
79.0,39.29346418380737,1.0,False,1024.0,5.0,720.0,300.0,4000.0,83.78577635972022,90.19811671642378,167.1795258914641,100,1.0,
80.0,21.1640727519989,1.0,False,1024.0,10.0,360.0,200.0,3000.0,84.64454097868317,90.43706462517036,161.68599193781898,100,1.0,
81.0,20.847260236740112,1.0,False,1024.0,10.0,360.0,200.0,4000.0,80.1732041867035,86.43706462517036,164.55,100,1.0,
82.0,20.940690994262695,1.0,False,1024.0,10.0,360.0,300.0,3000.0,84.20343802185944,89.6273120430811,164.36752709224265,100,1.0,
83.0,21.177260637283325,1.0,False,1024.0,10.0,360.0,300.0,4000.0,83.75342021949972,90.44811671642378,167.65452589146415,100,1.0,
84.0,39.203282833099365,1.0,False,1024.0,10.0,720.0,200.0,3000.0,84.72454097868317,90.29231791464407,162.160991937819,100,1.0,
85.0,39.66747999191284,1.0,False,1024.0,10.0,720.0,200.0,4000.0,80.13167240625664,86.68706462517036,164.525,100,1.0,
86.0,40.24024081230163,1.0,False,1024.0,10.0,720.0,300.0,3000.0,84.20343802185944,89.3773120430811,164.20280154207634,100,1.0,
87.0,41.6271710395813,1.0,False,1024.0,10.0,720.0,300.0,4000.0,83.78577635972022,90.19811671642378,167.1795258914641,100,1.0,
88.0,22.233059883117676,1.0,False,1024.0,50.0,360.0,200.0,3000.0,84.64454097868317,90.43706462517036,161.68599193781898,100,1.0,
89.0,22.145133018493652,1.0,False,1024.0,50.0,360.0,200.0,4000.0,80.1732041867035,86.43706462517036,164.55,100,1.0,
90.0,22.16201686859131,1.0,False,1024.0,50.0,360.0,300.0,3000.0,84.20343802185944,89.6273120430811,164.36752709224265,100,1.0,
91.0,22.273262977600098,1.0,False,1024.0,50.0,360.0,300.0,4000.0,83.75342021949972,90.44811671642378,167.65452589146415,100,1.0,
92.0,41.53698110580444,1.0,False,1024.0,50.0,720.0,200.0,3000.0,84.72454097868317,90.29231791464407,162.160991937819,100,1.0,
93.0,41.849101066589355,1.0,False,1024.0,50.0,720.0,200.0,4000.0,80.13167240625664,86.68706462517036,164.525,100,1.0,
94.0,41.50883221626282,1.0,False,1024.0,50.0,720.0,300.0,3000.0,84.20343802185944,89.3773120430811,164.20280154207634,100,1.0,
95.0,42.351564168930054,1.0,False,1024.0,50.0,720.0,300.0,4000.0,83.78577635972022,90.19811671642378,167.1795258914641,100,1.0,
96.0,42.44796109199524,1.0,False,2048.0,1.0,360.0,200.0,3000.0,80.38743706674306,79.65286404708098,167.5447462350967,100,1.0,
97.0,42.35472297668457,1.0,False,2048.0,1.0,360.0,200.0,4000.0,81.79857357100887,87.35634230599732,166.5447462350967,100,1.0,
98.0,42.39229893684387,1.0,False,2048.0,1.0,360.0,300.0,3000.0,80.03509985244158,78.68706462517036,171.025,100,1.0,
99.0,40.05873990058899,1.0,False,2048.0,1.0,360.0,300.0,4000.0,87.14997131498802,86.2091233787778,171.64258290835218,100,1.0,
100.0,79.32065200805664,1.0,False,2048.0,1.0,720.0,200.0,3000.0,80.38243706674305,79.90286404708098,167.5447462350967,100,1.0,
101.0,79.47027492523193,1.0,False,2048.0,1.0,720.0,200.0,4000.0,81.72357357100887,87.60634230599732,166.0947462350967,100,1.0,
102.0,79.34752297401428,1.0,False,2048.0,1.0,720.0,300.0,3000.0,80.04009985244157,78.68706462517036,171.025,100,1.0,
103.0,79.15427803993225,1.0,False,2048.0,1.0,720.0,300.0,4000.0,87.18997131498801,86.2091233787778,171.64258290835218,100,1.0,
104.0,40.455652952194214,1.0,False,2048.0,5.0,360.0,200.0,3000.0,80.38743706674306,79.65286404708098,167.5447462350967,100,1.0,
