feature,threshold,direction,precision,recall,f1,tp,fp,tn,fn,false_positive_rate,percentile
entropy,5.156472091674805,>=,0.819672131147541,0.2617801047120419,0.39682539682539686,50,11,1807,141,0.605060506050605,3
max_prob,0.05766433551907534,<=,0.23756218905472637,1.0,0.38391959798994973,191,613,1205,0,33.71837183718372,40
entropy,3.668188667297363,>=,0.23756218905472637,1.0,0.38391959798994973,191,613,1205,0,33.71837183718372,40
prediction_variance,8.835416520014405e-05,<=,0.23756218905472637,1.0,0.38391959798994973,191,613,1205,0,33.71837183718372,40
local_concentration,0.7750982284545899,<=,0.23756218905472637,1.0,0.38391959798994973,191,613,1205,0,33.71837183718372,40
max_prob,0.06028427481651299,<=,0.21128318584070796,1.0,0.34885844748858447,191,713,1105,0,39.218921892189215,45
entropy,3.6203386306762697,>=,0.21128318584070796,1.0,0.34885844748858447,191,713,1105,0,39.218921892189215,45
prediction_variance,9.288115397794172e-05,<=,0.21128318584070796,1.0,0.34885844748858447,191,713,1105,0,39.218921892189215,45
local_concentration,0.7908902883529663,<=,0.21128318584070796,1.0,0.34885844748858447,191,713,1105,0,39.218921892189215,45
max_prob,0.011713538840413089,<=,0.9512195121951219,0.20418848167539266,0.3362068965517241,39,2,1816,152,0.11001100110011,2
local_concentration,0.21601841449737544,<=,0.9512195121951219,0.20418848167539266,0.3362068965517241,39,2,1816,152,0.11001100110011,2
max_prob,0.0623503401875495,<=,0.1900497512437811,1.0,0.3193979933110368,191,814,1004,0,44.77447744774478,50
entropy,3.5780558586120605,>=,0.1900497512437811,1.0,0.3193979933110368,191,814,1004,0,44.77447744774478,50
prediction_variance,9.75588773144409e-05,<=,0.1900497512437811,1.0,0.3193979933110368,191,814,1004,0,44.77447744774478,50
local_concentration,0.804768979549408,<=,0.1900497512437811,1.0,0.3193979933110368,191,814,1004,0,44.77447744774478,50
entropy,5.23329776763916,>=,0.8292682926829268,0.17801047120418848,0.29310344827586204,34,7,1811,157,0.385038503850385,2
prediction_variance,1.0679400947992691e-05,<=,0.8292682926829268,0.17801047120418848,0.29310344827586204,34,7,1811,157,0.385038503850385,2
peak_sharpness,1.0231361389160156,<=,0.11641791044776119,0.612565445026178,0.1956521739130435,117,888,930,74,48.84488448844885,50
peak_sharpness,1.0175718307495116,<=,0.12064676616915423,0.5078534031413613,0.19497487437185929,97,707,1111,94,38.88888888888889,40
peak_sharpness,1.0124902248382568,<=,0.12769485903814262,0.4031413612565445,0.19395465994962216,77,526,1292,114,28.93289328932893,30
peak_sharpness,1.0149139881134033,<=,0.12233285917496443,0.450261780104712,0.19239373601789708,86,617,1201,105,33.93839383938394,35
peak_sharpness,1.0205029010772706,<=,0.1161504424778761,0.5497382198952879,0.1917808219178082,105,799,1019,86,43.94939493949395,45
peak_sharpness,1.0103163719177246,<=,0.12524850894632206,0.3298429319371728,0.18155619596541786,63,440,1378,128,24.202420242024203,25
max_prob,0.010255038961768135,<=,0.9047619047619048,0.09947643979057591,0.17924528301886788,19,2,1816,172,0.11001100110011,1
local_concentration,0.18814752578735347,<=,0.9047619047619048,0.09947643979057591,0.17924528301886788,19,2,1816,172,0.11001100110011,1
peak_sharpness,1.0078410863876344,<=,0.12686567164179105,0.2670157068062827,0.17200674536256325,51,351,1467,140,19.306930693069308,20
prediction_variance,8.874627856130246e-06,<=,0.8571428571428571,0.09424083769633508,0.169811320754717,18,3,1815,173,0.16501650165016502,1
peak_sharpness,1.0056990146636964,<=,0.13245033112582782,0.2094240837696335,0.16227180527383367,40,262,1556,151,14.411441144114413,15
entropy,5.318062324523926,>=,0.7619047619047619,0.08376963350785341,0.15094339622641512,16,5,1813,175,0.27502750275027504,1
peak_sharpness,1.00375235080719,<=,0.14427860696517414,0.1518324607329843,0.14795918367346939,29,172,1646,162,9.460946094609461,10
peak_sharpness,1.0026559019088745,<=,0.14893617021276595,0.1099476439790576,0.12650602409638553,21,120,1698,170,6.6006600660066,7
peak_sharpness,1.001854920387268,<=,0.12871287128712872,0.06806282722513089,0.08904109589041095,13,88,1730,178,4.84048404840484,5
peak_sharpness,1.0015310478210449,<=,0.13580246913580246,0.05759162303664921,0.08088235294117647,11,70,1748,180,3.850385038503851,4
peak_sharpness,1.0012533092498779,<=,0.13114754098360656,0.041884816753926704,0.06349206349206349,8,53,1765,183,2.915291529152915,3
peak_sharpness,1.0007383728027344,<=,0.12195121951219512,0.02617801047120419,0.04310344827586207,5,36,1782,186,1.9801980198019802,2
peak_sharpness,1.000417537689209,<=,0.047619047619047616,0.005235602094240838,0.009433962264150945,1,20,1798,190,1.1001100110011002,1
