config,n_replaced,replacement_type,error_category,n_samples,pct_of_total,mean_error,median_error,max_prob_mean,max_prob_std,entropy_mean,entropy_std,prediction_variance_mean,prediction_variance_std,peak_sharpness_mean,peak_sharpness_std,local_concentration_mean,local_concentration_std
6cm_1x12cm_pos5,1,12cm,Catastrophe (>30°),3,0.14932802389248384,63.666666666666664,65.0,0.013967477406064632,0.002766119790274469,5.159461498260498,0.2643753223413274,1.238937359933819e-05,5.210778086624946e-06,1.0306761662165325,0.04725015888448534,0.20344264308611545,0.0507598579017135
6cm_2x18cm_opposite,2,18cm,Excellent (<3°),816,40.6172224987556,1.3786764705882353,2.0,0.06058406943738384,0.01603895630112301,3.7166939255069282,0.3239620020394781,9.001394872643157e-05,2.586790587142379e-05,1.0377165410740703,0.036396106912766096,0.7553587803142328,0.10805710337368452
6cm_2x18cm_opposite,2,18cm,Bad (10-25°),405,20.159283225485318,15.938271604938272,17.0,0.07671046595054641,0.03147962199105046,3.617841880115462,0.4646019885280638,0.0001099940387822535,4.6932428761067934e-05,1.0628768600063558,0.0481439290135588,0.7659796513157127,0.14618261145555558
6cm_2x18cm_opposite,2,18cm,Catastrophe (>30°),37,1.841712294673967,79.70270270270271,62.0,0.030169656147827937,0.015026148683664009,4.609593500962129,0.5303214801700891,3.679052927484893e-05,2.4141948397063717e-05,1.0360025296340118,0.02841897089786257,0.4538342634568343,0.18722930802362955
6cm_2x12cm_adjacent,2,12cm,Excellent (<3°),781,38.87506222000995,1.382842509603073,1.0,0.06462085861998884,0.018766939512832426,3.6746520672503875,0.3170519615436582,9.497708650856211e-05,2.8772740076632507e-05,1.0419224512867067,0.03506239120664633,0.7639971053783475,0.11421932441591875
6cm_2x12cm_adjacent,2,12cm,Bad (10-25°),458,22.797411647585864,15.687772925764191,16.0,0.055471102204824464,0.02883967501996653,3.9078300509390353,0.49209987907488256,7.892691772958109e-05,4.2653701303606956e-05,1.043069177839954,0.03801483682635417,0.6526772370114597,0.17132388503159374
6cm_2x12cm_adjacent,2,12cm,Catastrophe (>30°),121,6.022896963663514,68.46280991735537,46.0,0.03551163709884089,0.018720107122769534,4.461384879656075,0.5003407231887892,4.371560399245512e-05,2.853407499164345e-05,1.0443695557018942,0.04084273226509916,0.4682602885464006,0.17703176095410092
6cm_2x12cm_opposite,2,12cm,Excellent (<3°),520,25.88352414136386,1.3826923076923077,2.0,0.0652824742791171,0.02115272876868051,3.682620137012922,0.31831373914867855,9.500730716351982e-05,3.09248814965127e-05,1.0486981359811929,0.041382300299892434,0.7635782314034608,0.10647683043049128
6cm_2x12cm_opposite,2,12cm,Bad (10-25°),737,36.68491786958686,15.450474898236092,16.0,0.08440189001629356,0.04336641704044541,3.5839506505787617,0.563286336336242,0.00012215506637624127,6.60772534393534e-05,1.0649307789925482,0.04793329623576444,0.7591725401833067,0.16926770974844246
6cm_2x12cm_opposite,2,12cm,Catastrophe (>30°),131,6.5206570433051265,121.63358778625954,152.0,0.0364724959723139,0.017930426646315854,4.560123716601889,0.4857730758204278,4.1462902701113814e-05,2.6361108047074123e-05,1.04686127273181,0.04086706286191067,0.46942225348858435,0.18065021003893833
